index,open,high,low,close,volume
1,0.039365,0.039365,0.039365,0.039365,1500
2,0.039365,0.04066,0.039365,0.04066,1800
3,0.04066,0.04066,0.04066,0.04066,1500
4,0.04066,0.04102,0.04066,0.04102,1400
5,0.04102,0.04102,0.04102,0.04102,1900
6,0.04102,0.041212,0.04102,0.041212,1200
7,0.041212,0.041212,0.041212,0.041212,1100
8,0.041212,0.041212,0.041212,0.041212,1400
9,0.041212,0.041212,0.041212,0.041212,1600
10,0.041212,0.041686,0.041212,0.041686,1700
11,0.041686,0.041686,0.041686,0.041686,1400
12,0.041686,0.041889,0.041686,0.041889,1400
13,0.041889,0.042231,0.041889,0.042231,1100
14,0.042231,0.042231,0.041889,0.041889,1800
15,0.04239,0.04366,0.04239,0.04239,1100
16,0.04239,0.04366,0.04239,0.04239,1900
17,0.04239,0.04366,0.04239,0.04239,1500
18,0.04366,0.04366,0.04239,0.04366,1000
19,0.04366,0.04366,0.04366,0.04366,1500
20,0.04366,0.04366,0.04366,0.04366,1800
21,0.04366,0.04366,0.04366,0.04366,1500
22,0.04366,0.04366,0.04239,0.04239,1400
23,0.04239,0.04239,0.04239,0.04239,1900
24,0.04239,0.04279,0.04239,0.04279,1200
25,0.04238,0.04238,0.04238,0.04238,1100
26,0.04238,0.04238,0.04238,0.04238,1400
27,0.04238,0.04238,0.04238,0.04238,1600
28,0.04238,0.04238,0.04238,0.04238,1700
29,0.04238,0.04238,0.04238,0.04238,1400
30,0.04238,0.04238,0.04238,0.04238,1400
31,0.04238,0.04238,0.04238,0.04238,1100
32,0.04238,0.04238,0.04238,0.04238,1800
33,0.04238,0.04238,0.04238,0.04238,1100
34,0.04238,0.04238,0.04238,0.04238,1900
35,0.04238,0.04238,0.04238,0.04238,1500
36,0.04238,0.04238,0.04238,0.04238,1000
37,0.04238,0.04238,0.04238,0.04238,1400
38,0.04238,0.04238,0.04238,0.04238,1100
39,0.04238,0.04238,0.04238,0.04238,1800
40,0.04238,0.04238,0.04238,0.04238,1100
41,0.04238,0.04238,0.04238,0.04238,1900
42,0.04238,0.04238,0.04238,0.04238,1500
43,0.04238,0.04238,0.04238,0.04238,1000
44,0.04238,0.04238,0.04238,0.04238,1500
45,0.04238,0.04238,0.04238,0.04238,1800
46,0.04238,0.04238,0.04238,0.04238,1500
47,0.04238,0.04238,0.04238,0.04238,1400
48,0.04238,0.04238,0.04238,0.04238,1900
49,0.04238,0.04238,0.04238,0.04238,1400
50,0.04238,0.042663,0.04238,0.042663,1400
51,0.042663,0.042663,0.04238,0.042663,1100
52,0.042663,0.042663,0.042663,0.042663,1800
53,0.042663,0.042663,0.042663,0.042663,1100
54,0.042663,0.042887,0.042663,0.042663,1900
55,0.042663,0.042887,0.042663,0.042663,1500
56,0.042663,0.042887,0.042663,0.042887,1000
57,0.042887,0.042887,0.042887,0.042887,1400
58,0.042887,0.042887,0.042887,0.042887,1100
59,0.042887,0.042887,0.042663,0.042663,1800
60,0.042663,0.042887,0.042663,0.042887,1100
61,0.042887,0.042887,0.042887,0.042887,1900
62,0.042887,0.042887,0.042004,0.042004,1500
63,0.042004,0.042004,0.042004,0.042004,1100
64,0.042004,0.042656,0.042004,0.042004,1800
65,0.042004,0.042656,0.042004,0.042656,1100
66,0.042656,0.042656,0.042656,0.042656,1900
67,0.042656,0.042656,0.042656,0.042656,1500
68,0.042656,0.043678,0.042656,0.043678,1000
69,0.043678,0.043678,0.043084,0.043084,1500
70,0.043084,0.043084,0.043084,0.043084,1800
71,0.043084,0.043678,0.043084,0.043678,1500
72,0.043678,0.043678,0.043678,0.043678,1400
73,0.043678,0.043898,0.043678,0.043898,1900
74,0.043898,0.043898,0.043898,0.043898,1400
75,0.043898,0.043898,0.043898,0.043898,1400
76,0.043898,0.044212,0.043898,0.044212,1100
77,0.044212,0.044431,0.044212,0.044212,1800
78,0.044212,0.044431,0.044212,0.044431,1100
79,0.044431,0.044665,0.044431,0.044431,1900
80,0.044431,0.044431,0.044431,0.044431,1500
81,0.044431,0.044431,0.044431,0.044431,1400
82,0.044431,0.044555,0.044431,0.044555,1100
